% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:52"
% Dimension,3
% Nodes,35146
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd.Ey)
3.459302424548514E-7,-1.4978482988879665E-7,-1.5405858310626708E-6,-4.077609401322453E7
3.538703792417597E-7,-1.5598253223066687E-7,-1.5405858310626708E-6,-4.078111231727865E7
3.4510926350531225E-7,-1.5006588966518488E-7,-1.5405858310626708E-6,-4.077583666782358E7
3.5469135819129886E-7,-1.5570147245427864E-7,-1.5405858310626708E-6,-4.07793345457387E7
3.363035874083536E-7,-1.4328366283145828E-7,-1.5405858310626708E-6,-4.077282146500801E7
3.4424372419526187E-7,-1.4948136517332852E-7,-1.5405858310626708E-6,-4.077530777038037E7
3.354826084588144E-7,-1.4356472260784654E-7,-1.5405858310626708E-6,-4.077010575913755E7
3.4506470314480103E-7,-1.4920030539694027E-7,-1.5405858310626708E-6,-4.077578321515015E7
3.266769323618558E-7,-1.3678249577412015E-7,-1.5405858310626708E-6,-4.0769855240986794E7
3.34617069148764E-7,-1.4298019811599018E-7,-1.5405858310626708E-6,-4.076958413665443E7
3.2585595341231633E-7,-1.370635555505085E-7,-1.5405858310626708E-6,-4.0765223032206416E7
3.354380480983032E-7,-1.426991383396019E-7,-1.5405858310626708E-6,-4.077253820875697E7
3.3679919426803986E-7,-1.529108179095812E-7,-1.5405858310626708E-6,-4.0776288187405884E7
3.447393310549482E-7,-1.5910852025145142E-7,-1.5405858310626708E-6,-4.07814996186153E7
3.359782153185007E-7,-1.5319187768596946E-7,-1.5405858310626708E-6,-4.077632456097573E7
3.4556031000448736E-7,-1.5882746047506316E-7,-1.5405858310626708E-6,-4.078146324504545E7
3.2717253922154203E-7,-1.4640965085224286E-7,-1.5405858310626708E-6,-4.077065787053531E7
3.351126760084504E-7,-1.5260735319411308E-7,-1.5405858310626708E-6,-4.077580560132733E7
3.2635156027200293E-7,-1.466907106286311E-7,-1.5405858310626708E-6,-4.077158822644502E7
3.359336549579895E-7,-1.5232629341772485E-7,-1.5405858310626708E-6,-4.077575928996267E7
3.2766814608122847E-7,-1.5603680593036597E-7,-1.5405858310626708E-6,-4.077690065550808E7
3.356082828681362E-7,-1.6223450827223614E-7,-1.5405858310626708E-6,-4.0782023802069254E7
3.26847167131689E-7,-1.5631786570675434E-7,-1.5405858310626708E-6,-4.077794363655869E7
3.3642926181767565E-7,-1.6195344849584775E-7,-1.5405858310626708E-6,-4.07819751213322E7
3.5473591855181007E-7,-1.5656705672252325E-7,-1.5405858310626708E-6,-4.077006596927656E7
3.456048703649986E-7,-1.596930447433078E-7,-1.5405858310626708E-6,-4.0775383292298935E7
3.3647382217818687E-7,-1.628190327640927E-7,-1.5405858310626708E-6,-4.078059721036096E7
3.4642584931453773E-7,-1.5941198496691955E-7,-1.5405858310626708E-6,-4.0774934233240664E7
3.2630699991149166E-7,-1.4582512636038648E-7,-1.5405858310626708E-6,-4.077101210149151E7
3.372948011277263E-7,-1.6253797298770434E-7,-1.5405858310626708E-6,-4.078015744851523E7
3.268026067711778E-7,-1.5545228143850938E-7,-1.5405858310626708E-6,-4.0777368391302705E7
3.2729821363086405E-7,-1.6507943651663233E-7,-1.5405858310626708E-6,-4.078371489698924E7
3.2816375294091474E-7,-1.656639610084889E-7,-1.5405858310626708E-6,-4.07852772588296E7
3.5555689750134923E-7,-1.56285996946135E-7,-1.5405858310626708E-6,-4.07686775869071E7
3.258113930518051E-7,-1.3619797128226358E-7,-1.5405858310626708E-6,-4.077200538776993E7
3.273427739913753E-7,-1.6594502078487726E-7,-1.5405858310626708E-6,-4.078288099668624E7
3.53771013466759E-7,-1.1916739179675318E-7,-1.5405858310626708E-6,-4.078995825363296E7
3.5463655277680967E-7,-1.1975191628860976E-7,-1.5405858310626708E-6,-4.0786951385801226E7
3.4615463566855214E-7,-1.2491836566660006E-7,-1.5405858310626708E-6,-4.0782517038195804E7
3.4528909635850176E-7,-1.2433384117474368E-7,-1.5405858310626708E-6,-4.078474094979831E7
3.44451139995108E-7,-1.248442516252566E-7,-1.5405858310626708E-6,-4.078425455525376E7
3.4531667930515833E-7,-1.2542877611711298E-7,-1.5405858310626708E-6,-4.078217845995963E7
3.368347621969008E-7,-1.3059522549510352E-7,-1.5405858310626708E-6,-4.077894578597321E7
3.359692228868505E-7,-1.3001070100324714E-7,-1.5405858310626708E-6,-4.077889035583031E7
3.3513126652345667E-7,-1.305211114537601E-7,-1.5405858310626708E-6,-4.077838944898957E7
